País,Año,Población_Total_Millones,Pct_0_14,Pct_15_24,Pct_25_54,Pct_55_64,Pct_65_más,Pob_0_14_Miles,Pob_15_24_Miles,Pob_25_54_Miles,Pob_55_64_Miles,Pob_65_más_Miles,Fuente,ISO3,Región,Pct_Edad_Laboral,Pct_Joven_Total,Pob_Edad_Laboral_Miles,Pob_Dependiente_Miles,Indice_Envejecimiento,Razon_Dependencia_Total,Razon_Dependencia_Infantil,Razon_Dependencia_Mayores,Indice_Bono_Demografico,Cambio_Envejecimiento_vs_2000,Suma_Pct_Grupos,Pct_Grupos_Validos
Uruguay,2023,3.5,18.0,13.5,44.5,10.5,13.5,630,473,1558,368,473,CEPAL/Banco Mundial,URY,Cono Sur,68.5,31.5,2399,1103,75.08,45.98,26.26,19.72,2.175,41.02,100.0,True
Chile,2023,19.6,18.0,13.5,45.0,10.0,13.5,3528,2646,8820,1960,2646,CEPAL/Banco Mundial,CHL,Cono Sur,68.5,31.5,13426,6174,75.0,45.99,26.28,19.71,2.1746,44.23,100.0,True
Brasil,2023,215.8,19.0,14.0,44.5,9.5,13.0,41002,30212,96001,20501,28054,CEPAL/Banco Mundial,BRA,Cono Sur,68.0,33.0,146714,69056,68.42,47.07,27.95,19.12,2.1246,48.78,100.0,True
Argentina,2023,46.6,20.0,14.5,43.5,9.5,12.5,9320,6757,20271,4427,5825,CEPAL/Banco Mundial,ARG,Cono Sur,67.5,34.5,31455,15145,62.5,48.15,29.63,18.52,2.0769,31.73,100.0,True
Colombia,2023,52.2,22.0,15.5,43.5,8.5,10.5,11484,8091,22707,4437,5481,CEPAL/Banco Mundial,COL,Andina,67.5,37.5,35235,16965,47.73,48.15,32.59,15.56,2.0769,33.66,100.0,True
Perú,2023,34.0,23.0,16.5,43.0,8.0,9.5,7820,5610,14620,2720,3230,CEPAL/Banco Mundial,PER,Andina,67.5,39.5,22950,11050,41.3,48.15,34.07,14.07,2.0769,28.06,100.0,True
México,2023,129.0,24.0,16.0,43.0,8.0,9.0,30960,20640,55470,10320,11610,CEPAL/BBVA Research,MEX,Norteamérica,67.0,40.0,86430,42570,37.5,49.25,35.82,13.43,2.0303,23.86,100.0,True
Venezuela,2023,28.8,25.0,17.5,41.5,7.5,8.5,7200,5040,11952,2160,2448,CEPAL/Banco Mundial,VEN,Andina,66.5,42.5,19152,9648,34.0,50.38,37.59,12.78,1.9851,20.76,100.0,True
Ecuador,2023,18.0,26.0,17.5,40.5,7.5,8.5,4680,3150,7290,1350,1530,CEPAL/Banco Mundial,ECU,Andina,65.5,43.5,11790,6210,32.69,52.67,39.69,12.98,1.8986,18.8,100.0,True
Paraguay,2023,7.5,28.0,18.5,38.0,6.5,9.0,2100,1388,2850,488,675,CEPAL/Banco Mundial,PRY,Cono Sur,63.0,46.5,4726,2775,32.14,58.72,44.44,14.28,1.7031,20.27,100.0,True
Bolivia,2023,12.3,29.0,18.5,37.5,6.5,8.5,3567,2276,4613,800,1046,CEPAL/Banco Mundial,BOL,Andina,62.5,47.5,7689,4613,29.32,59.99,46.39,13.6,1.6668,17.77,100.0,True
